   0.190410959E-05   0.261780048E-05   0.118414519E-05   0.239713540E-05   0.140286890E-04   0.182396778E-04   0.100847969E-04  -0.377051539E-05  -0.122026606E-04  -0.106851513E-04
   0.189207902E-05   0.265944736E-05   0.130816144E-05   0.251317730E-05   0.140203535E-04   0.180449655E-04   0.993450332E-05  -0.380187720E-05  -0.121528169E-04  -0.106560583E-04
   0.188013157E-05   0.270277420E-05   0.143716587E-05   0.263247495E-05   0.140073189E-04   0.178396359E-04   0.977882675E-05  -0.383203575E-05  -0.120989900E-04  -0.106246492E-04
   0.186822511E-05   0.274781751E-05   0.157119141E-05   0.275499475E-05   0.139895642E-04   0.176238903E-04   0.961794996E-05  -0.386098450E-05  -0.120413312E-04  -0.105911044E-04
   0.185631863E-05   0.279461237E-05   0.171026597E-05   0.288069863E-05   0.139670725E-04   0.173979397E-04   0.945205854E-05  -0.388871840E-05  -0.119799930E-04  -0.105556032E-04
   0.184437229E-05   0.284319236E-05   0.185441239E-05   0.300954408E-05   0.139398312E-04   0.171620038E-04   0.928134064E-05  -0.391523386E-05  -0.119151292E-04  -0.105183237E-04
   0.183234749E-05   0.289358951E-05   0.200364829E-05   0.314148410E-05   0.139078320E-04   0.169163115E-04   0.910598669E-05  -0.394052873E-05  -0.118468944E-04  -0.104794428E-04
   0.182020691E-05   0.294583424E-05   0.215798599E-05   0.327646716E-05   0.138710709E-04   0.166610999E-04   0.892618917E-05  -0.396460226E-05  -0.117754440E-04  -0.104391358E-04
   0.180791459E-05   0.299995528E-05   0.231743239E-05   0.341443720E-05   0.138295483E-04   0.163966142E-04   0.874214235E-05  -0.398745509E-05  -0.117009338E-04  -0.103975760E-04
   0.179543598E-05   0.305597968E-05   0.248198891E-05   0.355533362E-05   0.137832694E-04   0.161231074E-04   0.855404209E-05  -0.400908920E-05  -0.116235199E-04  -0.103549349E-04
   0.178273798E-05   0.311393268E-05   0.265165139E-05   0.369909127E-05   0.137322438E-04   0.158408401E-04   0.836208555E-05  -0.402950791E-05  -0.115433588E-04  -0.103113815E-04
   0.176978897E-05   0.317383771E-05   0.282640999E-05   0.384564048E-05   0.136764858E-04   0.155500795E-04   0.816647097E-05  -0.404871579E-05  -0.114606064E-04  -0.102670826E-04
   0.175655893E-05   0.323571633E-05   0.300624918E-05   0.399490705E-05   0.136160145E-04   0.152510996E-04   0.796739745E-05  -0.406671869E-05  -0.113754187E-04  -0.102222022E-04
   0.174301940E-05   0.329958817E-05   0.319114761E-05   0.414681230E-05   0.135508535E-04   0.149441809E-04   0.776506471E-05  -0.408352368E-05  -0.112879512E-04  -0.101769013E-04
   0.172914357E-05   0.336547092E-05   0.338107808E-05   0.430127311E-05   0.134810316E-04   0.146296094E-04   0.755967283E-05  -0.409913903E-05  -0.111983587E-04  -0.101313381E-04
   0.171490634E-05   0.343338026E-05   0.357600750E-05   0.445820194E-05   0.134065822E-04   0.143076767E-04   0.735142208E-05  -0.411357414E-05  -0.111067951E-04  -0.100856674E-04
   0.170028430E-05   0.350332982E-05   0.377589685E-05   0.461750692E-05   0.133275435E-04   0.139786797E-04   0.714051265E-05  -0.412683957E-05  -0.110134134E-04  -0.100400406E-04
   0.168525582E-05   0.357533116E-05   0.398070111E-05   0.477909188E-05   0.132439589E-04   0.136429196E-04   0.692714448E-05  -0.413894695E-05  -0.109183655E-04  -0.999460552E-05
   0.166980106E-05   0.364939373E-05   0.419036926E-05   0.494285648E-05   0.131558764E-04   0.133007022E-04   0.671151698E-05  -0.414990898E-05  -0.108218017E-04  -0.994950619E-05
   0.165390200E-05   0.372552483E-05   0.440484427E-05   0.510869625E-05   0.130633491E-04   0.129523373E-04   0.649382889E-05  -0.415973940E-05  -0.107238712E-04  -0.990488272E-05
   0.163754248E-05   0.380372960E-05   0.462406304E-05   0.527650270E-05   0.129664349E-04   0.125981378E-04   0.627427803E-05  -0.416845292E-05  -0.106247211E-04  -0.986087115E-05
   0.162070823E-05   0.388401096E-05   0.484795647E-05   0.544616346E-05   0.128651966E-04   0.122384201E-04   0.605306114E-05  -0.417606522E-05  -0.105244972E-04  -0.981760325E-05
   0.160338688E-05   0.396636963E-05   0.507644940E-05   0.561756235E-05   0.127597020E-04   0.118735033E-04   0.583037365E-05  -0.418259291E-05  -0.104233428E-04  -0.977520646E-05
   0.158556800E-05   0.405080407E-05   0.530946062E-05   0.579057956E-05   0.126500235E-04   0.115037086E-04   0.560640948E-05  -0.418805351E-05  -0.103213996E-04  -0.973380368E-05
   0.156724308E-05   0.413731047E-05   0.554690294E-05   0.596509176E-05   0.125362384E-04   0.111293596E-04   0.538136092E-05  -0.419246538E-05  -0.102188068E-04  -0.969351320E-05
   0.154840563E-05   0.422588274E-05   0.578868319E-05   0.614097224E-05   0.124184288E-04   0.107507810E-04   0.515541837E-05  -0.419584773E-05  -0.101157013E-04  -0.965444855E-05
   0.152905108E-05   0.431651251E-05   0.603470222E-05   0.631809111E-05   0.122966814E-04   0.103682991E-04   0.492877024E-05  -0.419822053E-05  -0.100122174E-04  -0.961671839E-05
   0.150917679E-05   0.440918963E-05   0.628485648E-05   0.649631649E-05   0.121710867E-04   0.998223848E-05   0.470160136E-05  -0.419960458E-05  -0.990848649E-05  -0.958042617E-05
   0.148878254E-05   0.450389951E-05   0.653903081E-05   0.667550956E-05   0.120417426E-04   0.959293332E-05   0.447409946E-05  -0.420002133E-05  -0.980463924E-05  -0.954567115E-05
   0.146786950E-05   0.460062824E-05   0.679711238E-05   0.685553465E-05   0.119087474E-04   0.920070513E-05   0.424644232E-05  -0.419949300E-05  -0.970080031E-05  -0.951254621E-05
   0.144644125E-05   0.469935774E-05   0.705897765E-05   0.703625003E-05   0.117722062E-04   0.880588293E-05   0.401880958E-05  -0.419804245E-05  -0.959709340E-05  -0.948113969E-05
   0.142450340E-05   0.480006755E-05   0.732449732E-05   0.721751171E-05   0.116322281E-04   0.840879524E-05   0.379137810E-05  -0.419569318E-05  -0.949363919E-05  -0.945153459E-05
   0.140206312E-05   0.490273690E-05   0.759354181E-05   0.739917727E-05   0.114889238E-04   0.800976158E-05   0.356431719E-05  -0.419246925E-05  -0.939055311E-05  -0.942380789E-05
   0.137913035E-05   0.500733938E-05   0.786596740E-05   0.758109654E-05   0.113424122E-04   0.760911323E-05   0.333780048E-05  -0.418839538E-05  -0.928795070E-05  -0.939803209E-05
   0.135571653E-05   0.511384858E-05   0.814163101E-05   0.776312190E-05   0.111928130E-04   0.720717064E-05   0.311199316E-05  -0.418349676E-05  -0.918594178E-05  -0.937427344E-05
   0.133183523E-05   0.522223516E-05   0.842038270E-05   0.794510328E-05   0.110402500E-04   0.680425468E-05   0.288705837E-05  -0.417779910E-05  -0.908463337E-05  -0.935259278E-05
