  -0.580796401E-05  -0.338914616E-05  -0.565733295E-05  -0.105599732E-04  -0.122085926E-04  -0.296638657E-05   0.117030447E-04
  -0.582888976E-05  -0.339123935E-05  -0.562699992E-05  -0.105057255E-04  -0.121509435E-04  -0.291481809E-05   0.117137193E-04
  -0.584892396E-05  -0.339392637E-05  -0.559487867E-05  -0.104456139E-04  -0.120868194E-04  -0.286256247E-05   0.117162372E-04
  -0.586818043E-05  -0.339720405E-05  -0.556086136E-05  -0.103795021E-04  -0.120161520E-04  -0.280966309E-05   0.117105351E-04
  -0.588677286E-05  -0.340106850E-05  -0.552484163E-05  -0.103072587E-04  -0.119388791E-04  -0.275616500E-05   0.116965576E-04
  -0.590481459E-05  -0.340551516E-05  -0.548671477E-05  -0.102287576E-04  -0.118549444E-04  -0.270211488E-05   0.116742568E-04
  -0.592241845E-05  -0.341053873E-05  -0.544637789E-05  -0.101438780E-04  -0.117642985E-04  -0.264756107E-05   0.116435928E-04
  -0.593969664E-05  -0.341613322E-05  -0.540373004E-05  -0.100525046E-04  -0.116668982E-04  -0.259255349E-05   0.116045337E-04
  -0.595676051E-05  -0.342229194E-05  -0.535867240E-05  -0.995452798E-05  -0.115627071E-04  -0.253714365E-05   0.115570555E-04
  -0.597372042E-05  -0.342900748E-05  -0.531110840E-05  -0.984984481E-05  -0.114516958E-04  -0.248138457E-05   0.115011426E-04
  -0.599068558E-05  -0.343627172E-05  -0.526094392E-05  -0.973835792E-05  -0.113338418E-04  -0.242533077E-05   0.114367876E-04
  -0.600776389E-05  -0.344407587E-05  -0.520808737E-05  -0.961997660E-05  -0.112091299E-04  -0.236903823E-05   0.113639914E-04
  -0.602506178E-05  -0.345241039E-05  -0.515244989E-05  -0.949461680E-05  -0.110775519E-04  -0.231256430E-05   0.112827631E-04
  -0.604268405E-05  -0.346126507E-05  -0.509394547E-05  -0.936220132E-05  -0.109391073E-04  -0.225596771E-05   0.111931206E-04
  -0.606073370E-05  -0.347062898E-05  -0.503249109E-05  -0.922266000E-05  -0.107938030E-04  -0.219930845E-05   0.110950897E-04
  -0.607931184E-05  -0.348049050E-05  -0.496800685E-05  -0.907592989E-05  -0.106416533E-04  -0.214264774E-05   0.109887052E-04
  -0.609851744E-05  -0.349083729E-05  -0.490041610E-05  -0.892195542E-05  -0.104826804E-04  -0.208604796E-05   0.108740099E-04
  -0.611844730E-05  -0.350165634E-05  -0.482964561E-05  -0.876068861E-05  -0.103169144E-04  -0.202957258E-05   0.107510554E-04
  -0.613919580E-05  -0.351293393E-05  -0.475562563E-05  -0.859208915E-05  -0.101443929E-04  -0.197328605E-05   0.106199015E-04
  -0.616085484E-05  -0.352465565E-05  -0.467829006E-05  -0.841612463E-05  -0.996516153E-05  -0.191725377E-05   0.104806166E-04
  -0.618351365E-05  -0.353680641E-05  -0.459757654E-05  -0.823277062E-05  -0.977927398E-05  -0.186154195E-05   0.103332772E-04
  -0.620725869E-05  -0.354937043E-05  -0.451342658E-05  -0.804201086E-05  -0.958679180E-05  -0.180621754E-05   0.101779684E-04
  -0.623217351E-05  -0.356233127E-05  -0.442578567E-05  -0.784383732E-05  -0.938778455E-05  -0.175134813E-05   0.100147834E-04
  -0.625833863E-05  -0.357567181E-05  -0.433460337E-05  -0.763825036E-05  -0.918232980E-05  -0.169700185E-05   0.984382345E-05
  -0.628583141E-05  -0.358937426E-05  -0.423983342E-05  -0.742525881E-05  -0.897051314E-05  -0.164324725E-05   0.966519810E-05
  -0.631472595E-05  -0.360342019E-05  -0.414143383E-05  -0.720488009E-05  -0.875242814E-05  -0.159015317E-05   0.947902473E-05
  -0.634509296E-05  -0.361779052E-05  -0.403936699E-05  -0.697714023E-05  -0.852817633E-05  -0.153778866E-05   0.928542862E-05
  -0.637699967E-05  -0.363246553E-05  -0.393359973E-05  -0.674207403E-05  -0.829786715E-05  -0.148622281E-05   0.908454280E-05
  -0.641050974E-05  -0.364742487E-05  -0.382410340E-05  -0.649972505E-05  -0.806161792E-05  -0.143552465E-05   0.887650790E-05
  -0.644568312E-05  -0.366264760E-05  -0.371085398E-05  -0.625014569E-05  -0.781955373E-05  -0.138576300E-05   0.866147202E-05
  -0.648257600E-05  -0.367811216E-05  -0.359383212E-05  -0.599339721E-05  -0.757180739E-05  -0.133700634E-05   0.843959056E-05
  -0.652124073E-05  -0.369379641E-05  -0.347302321E-05  -0.572954979E-05  -0.731851932E-05  -0.128932267E-05   0.821102608E-05
  -0.656172571E-05  -0.370967764E-05  -0.334841745E-05  -0.545868251E-05  -0.705983742E-05  -0.124277934E-05   0.797594811E-05
  -0.660407532E-05  -0.372573259E-05  -0.322000991E-05  -0.518088337E-05  -0.679591698E-05  -0.119744293E-05   0.773453298E-05
  -0.664832989E-05  -0.374193744E-05  -0.308780054E-05  -0.489624928E-05  -0.652692051E-05  -0.115337906E-05   0.748696362E-05
  -0.669452557E-05  -0.375826789E-05  -0.295179426E-05  -0.460488603E-05  -0.625301760E-05  -0.111065230E-05   0.723342936E-05
  -0.674269435E-05  -0.377469911E-05  -0.281200100E-05  -0.430690827E-05  -0.597438475E-05  -0.106932593E-05   0.697412573E-05
  -0.679286395E-05  -0.379120580E-05  -0.266843569E-05  -0.400243948E-05  -0.569120519E-05  -0.102946186E-05   0.670925421E-05
  -0.684505779E-05  -0.380776219E-05  -0.252111833E-05  -0.369161186E-05  -0.540366867E-05  -0.991120421E-06   0.643902207E-05
  -0.689929497E-05  -0.382434211E-05  -0.237007398E-05  -0.337456632E-05  -0.511197128E-05  -0.954360228E-06   0.616364206E-05
  -0.695559052E-05  -0.384091903E-05  -0.221533189E-05  -0.305145048E-05  -0.481631348E-05  -0.919237815E-06   0.588333055E-05
  -0.701395381E-05  -0.385746569E-05  -0.205692997E-05  -0.272242788E-05  -0.451690839E-05  -0.885808491E-06   0.559831542E-05
  -0.707439161E-05  -0.387395499E-05  -0.189490619E-05  -0.238765994E-05  -0.421396510E-05  -0.854124235E-06   0.530882012E-05
  -0.713690509E-05  -0.389035916E-05  -0.172930674E-05  -0.204732288E-05  -0.390770404E-05  -0.824235404E-06   0.501507825E-05
  -0.720149097E-05  -0.390665013E-05  -0.156018297E-05  -0.170160116E-05  -0.359835081E-05  -0.796189842E-06   0.471732774E-05
  -0.726814276E-05  -0.392279988E-05  -0.138758794E-05  -0.135068039E-05  -0.328612963E-05  -0.770032231E-06   0.441580445E-05
  -0.733684738E-05  -0.393877959E-05  -0.121158535E-05  -0.994765376E-06  -0.297127943E-05  -0.745805401E-06   0.411075773E-05
  -0.740758880E-05  -0.395456060E-05  -0.103224003E-05  -0.634060706E-06  -0.265403628E-05  -0.723548665E-06   0.380243344E-05
  -0.748034611E-05  -0.397011397E-05  -0.849622898E-06  -0.268780614E-06  -0.233464206E-05  -0.703298504E-06   0.349108229E-05
  -0.755509393E-05  -0.398541057E-05  -0.663809858E-06   0.100853254E-06  -0.201334232E-05  -0.685088286E-06   0.317695781E-05
  -0.763180245E-05  -0.400042116E-05  -0.474881812E-06   0.474612025E-06  -0.169038600E-05  -0.668948160E-06   0.286031603E-05
  -0.771043742E-05  -0.401511638E-05  -0.282924600E-06   0.852259788E-06  -0.136602507E-05  -0.654904963E-06   0.254141516E-05
  -0.779096020E-05  -0.402946682E-05  -0.880289601E-07   0.123355379E-05  -0.104051421E-05  -0.642982134E-06   0.222051528E-05
  -0.787332773E-05  -0.404344302E-05   0.109709515E-06   0.161824467E-05  -0.714110518E-06  -0.633199634E-06   0.189787804E-05
  -0.795749261E-05  -0.405701549E-05   0.310190432E-06   0.200607663E-05  -0.387073173E-06  -0.625573888E-06   0.157376632E-05
  -0.804340314E-05  -0.407015481E-05   0.513308656E-06   0.239678771E-05  -0.596630856E-07  -0.620117726E-06   0.124844391E-05
  -0.813100328E-05  -0.408283158E-05   0.718954368E-06   0.279010999E-05   0.267857422E-06  -0.616840342E-06   0.922175193E-06
  -0.822023280E-05  -0.409501650E-05   0.927013130E-06   0.318576983E-05   0.595224947E-06  -0.615747266E-06   0.595224794E-06
  -0.831102720E-05  -0.410668040E-05   0.113736596E-05   0.358348815E-05   0.922175347E-06  -0.616840342E-06   0.267857271E-06
  -0.840331787E-05  -0.411779425E-05   0.134988939E-05   0.398298066E-05   0.124844407E-05  -0.620117725E-06  -0.596632340E-07
  -0.849703207E-05  -0.412832921E-05   0.156445558E-05   0.438395810E-05   0.157376647E-05  -0.625573886E-06  -0.387073318E-06
  -0.859209298E-05  -0.413825666E-05   0.178093235E-05   0.478612655E-05   0.189787819E-05  -0.633199631E-06  -0.714110658E-06
  -0.868841981E-05  -0.414754823E-05   0.199918331E-05   0.518918770E-05   0.222051543E-05  -0.642982130E-06  -0.104051434E-05
  -0.878592779E-05  -0.415617584E-05   0.221906794E-05   0.559283911E-05   0.254141530E-05  -0.654904958E-06  -0.136602519E-05
  -0.888452830E-05  -0.416411171E-05   0.244044167E-05   0.599677452E-05   0.286031617E-05  -0.668948154E-06  -0.169038613E-05
  -0.898412887E-05  -0.417132842E-05   0.266315599E-05   0.640068411E-05   0.317695795E-05  -0.685088279E-06  -0.201334244E-05
  -0.908463330E-05  -0.417779892E-05   0.288705857E-05   0.680425487E-05   0.349108242E-05  -0.703298496E-06  -0.233464216E-05
  -0.918594171E-05  -0.418349658E-05   0.311199336E-05   0.720717082E-05   0.380243356E-05  -0.723548655E-06  -0.265403638E-05
